CPU,Time,GHz
0,2024-03-09 12:29:16.423063,2.520
1,2024-03-09 12:29:16.423067,2.918
2,2024-03-09 12:29:16.423068,2.485
3,2024-03-09 12:29:16.423070,2.740
0,2024-03-09 12:29:16.544473,2.951
1,2024-03-09 12:29:16.544477,2.705
2,2024-03-09 12:29:16.544478,2.701
3,2024-03-09 12:29:16.544480,2.743
0,2024-03-09 12:29:16.668047,2.740
1,2024-03-09 12:29:16.668051,2.865
2,2024-03-09 12:29:16.668053,2.584
3,2024-03-09 12:29:16.668054,2.741
0,2024-03-09 12:29:16.793649,2.955
1,2024-03-09 12:29:16.793653,2.820
2,2024-03-09 12:29:16.793654,2.146
3,2024-03-09 12:29:16.793655,3.029
0,2024-03-09 12:29:16.919534,2.875
1,2024-03-09 12:29:16.919538,2.794
2,2024-03-09 12:29:16.919540,2.442
3,2024-03-09 12:29:16.919541,2.829
0,2024-03-09 12:29:17.051052,3.008
1,2024-03-09 12:29:17.051056,2.790
2,2024-03-09 12:29:17.051058,2.863
3,2024-03-09 12:29:17.051059,2.786
0,2024-03-09 12:29:17.178784,2.913
1,2024-03-09 12:29:17.178787,2.791
2,2024-03-09 12:29:17.178789,2.409
3,2024-03-09 12:29:17.178790,2.786
0,2024-03-09 12:29:17.301578,2.888
1,2024-03-09 12:29:17.301582,3.012
2,2024-03-09 12:29:17.301583,2.711
3,2024-03-09 12:29:17.301586,2.737
0,2024-03-09 12:29:17.428544,2.645
1,2024-03-09 12:29:17.428548,2.701
2,2024-03-09 12:29:17.428549,2.992
3,2024-03-09 12:29:17.428550,2.529
0,2024-03-09 12:29:17.555745,2.756
1,2024-03-09 12:29:17.555749,2.802
2,2024-03-09 12:29:17.555750,3.141
3,2024-03-09 12:29:17.555751,2.674
0,2024-03-09 12:29:17.681264,2.872
1,2024-03-09 12:29:17.681268,3.216
2,2024-03-09 12:29:17.681270,2.576
3,2024-03-09 12:29:17.681271,2.816
0,2024-03-09 12:29:17.811522,2.794
1,2024-03-09 12:29:17.811525,2.806
2,2024-03-09 12:29:17.811527,2.677
