CPU,Time,GHz
90,2024-03-07 14:51:09.387942,0.000
91,2024-03-07 14:51:09.387943,0.028
92,2024-03-07 14:51:09.387951,0.049
93,2024-03-07 14:51:09.387952,0.002
94,2024-03-07 14:51:09.387953,0.000
95,2024-03-07 14:51:09.387954,0.002
0,2024-03-07 14:51:09.956770,0.008
1,2024-03-07 14:51:09.956774,0.012
2,2024-03-07 14:51:09.956776,0.001
3,2024-03-07 14:51:09.956777,0.001
4,2024-03-07 14:51:09.956777,0.000
5,2024-03-07 14:51:09.956778,0.002
6,2024-03-07 14:51:09.956779,0.001
7,2024-03-07 14:51:09.956780,0.001
8,2024-03-07 14:51:09.956781,0.001
9,2024-03-07 14:51:09.956782,0.001
10,2024-03-07 14:51:09.956783,0.001
11,2024-03-07 14:51:09.956784,0.001
12,2024-03-07 14:51:09.956787,0.002
13,2024-03-07 14:51:09.956788,0.001
14,2024-03-07 14:51:09.956789,0.001
15,2024-03-07 14:51:09.956790,0.001
16,2024-03-07 14:51:09.956790,0.001
17,2024-03-07 14:51:09.956793,0.001
18,2024-03-07 14:51:09.956794,0.001
19,2024-03-07 14:51:09.956795,0.001
20,2024-03-07 14:51:09.956796,0.002
21,2024-03-07 14:51:09.956796,0.000
22,2024-03-07 14:51:09.956797,0.000
23,2024-03-07 14:51:09.956798,0.001
24,2024-03-07 14:51:09.956799,0.001
25,2024-03-07 14:51:09.956800,0.000
26,2024-03-07 14:51:09.956800,0.001
27,2024-03-07 14:51:09.956801,0.000
28,2024-03-07 14:51:09.956802,0.000
29,2024-03-07 14:51:09.956805,0.000
30,2024-03-07 14:51:09.956806,0.000
31,2024-03-07 14:51:09.956807,0.000
32,2024-03-07 14:51:09.956808,0.000
33,2024-03-07 14:51:09.956809,0.000
34,2024-03-07 14:51:09.956810,0.001
35,2024-03-07 14:51:09.956811,0.000
36,2024-03-07 14:51:09.956811,0.000
37,2024-03-07 14:51:09.956812,0.000
38,2024-03-07 14:51:09.956814,0.000
39,2024-03-07 14:51:09.956815,0.000
40,2024-03-07 14:51:09.956816,0.001
41,2024-03-07 14:51:09.956818,0.000
42,2024-03-07 14:51:09.956819,0.000
43,2024-03-07 14:51:09.956821,0.000
44,2024-03-07 14:51:09.956822,0.000
45,2024-03-07 14:51:09.956822,0.000
46,2024-03-07 14:51:09.956823,0.000
47,2024-03-07 14:51:09.956824,0.001
48,2024-03-07 14:51:09.956825,0.001
49,2024-03-07 14:51:09.956826,0.001
50,2024-03-07 14:51:09.956827,0.006
51,2024-03-07 14:51:09.956827,0.011
52,2024-03-07 14:51:09.956828,0.938
53,2024-03-07 14:51:09.956829,0.000
54,2024-03-07 14:51:09.956830,0.001
55,2024-03-07 14:51:09.956831,0.001
56,2024-03-07 14:51:09.956831,0.001
57,2024-03-07 14:51:09.956832,0.003
58,2024-03-07 14:51:09.956833,0.001
59,2024-03-07 14:51:09.956835,0.001
60,2024-03-07 14:51:09.956836,0.001
61,2024-03-07 14:51:09.956837,0.001
62,2024-03-07 14:51:09.956837,0.001
63,2024-03-07 14:51:09.956838,0.002
64,2024-03-07 14:51:09.956839,0.001
65,2024-03-07 14:51:09.956840,0.001
66,2024-03-07 14:51:09.956841,0.001
67,2024-03-07 14:51:09.956842,0.001
68,2024-03-07 14:51:09.956842,0.001
69,2024-03-07 14:51:09.956843,0.000
70,2024-03-07 14:51:09.956844,0.000
71,2024-03-07 14:51:09.956845,0.001
72,2024-03-07 14:51:09.956846,0.001
73,2024-03-07 14:51:09.956846,0.000
74,2024-03-07 14:51:09.956847,0.001
75,2024-03-07 14:51:09.956848,0.000
76,2024-03-07 14:51:09.956849,0.000
77,2024-03-07 14:51:09.956850,0.000
78,2024-03-07 14:51:09.956851,0.000
79,2024-03-07 14:51:09.956851,0.000
80,2024-03-07 14:51:09.956853,0.000
81,2024-03-07 14:51:09.956854,0.000
82,2024-03-07 14:51:09.956855,0.001
83,2024-03-07 14:51:09.956856,0.000
