CPU,Time,GHz
2,2024-03-09 12:40:17.442903,0.012
3,2024-03-09 12:40:17.442905,0.022
0,2024-03-09 12:40:17.613793,0.015
1,2024-03-09 12:40:17.613800,0.010
2,2024-03-09 12:40:17.613803,0.073
3,2024-03-09 12:40:17.613805,0.046
0,2024-03-09 12:40:17.783293,0.032
1,2024-03-09 12:40:17.783303,0.012
2,2024-03-09 12:40:17.783307,0.104
3,2024-03-09 12:40:17.783310,0.132
0,2024-03-09 12:40:17.957704,0.012
1,2024-03-09 12:40:17.957714,0.018
2,2024-03-09 12:40:17.957717,0.014
3,2024-03-09 12:40:17.957720,0.056
0,2024-03-09 12:40:18.132108,0.012
1,2024-03-09 12:40:18.132117,0.133
2,2024-03-09 12:40:18.132121,0.014
3,2024-03-09 12:40:18.132124,0.034
0,2024-03-09 12:40:18.302163,0.021
1,2024-03-09 12:40:18.302171,0.100
2,2024-03-09 12:40:18.302175,0.035
3,2024-03-09 12:40:18.302178,0.026
0,2024-03-09 12:40:18.470156,0.025
1,2024-03-09 12:40:18.470166,0.011
2,2024-03-09 12:40:18.470171,0.047
3,2024-03-09 12:40:18.470174,0.101
0,2024-03-09 12:40:18.641746,0.015
1,2024-03-09 12:40:18.641754,0.013
2,2024-03-09 12:40:18.641758,0.186
3,2024-03-09 12:40:18.641761,0.014
0,2024-03-09 12:40:18.809855,0.015
1,2024-03-09 12:40:18.809862,0.011
2,2024-03-09 12:40:18.809864,0.101
3,2024-03-09 12:40:18.809866,0.011
0,2024-03-09 12:40:18.980776,0.048
1,2024-03-09 12:40:18.980783,0.135
2,2024-03-09 12:40:18.980786,0.014
3,2024-03-09 12:40:18.980788,0.098
0,2024-03-09 12:40:19.152195,0.016
1,2024-03-09 12:40:19.152201,0.011
2,2024-03-09 12:40:19.152204,0.127
3,2024-03-09 12:40:19.152206,0.011
0,2024-03-09 12:40:19.324761,0.022
1,2024-03-09 12:40:19.324766,0.011
2,2024-03-09 12:40:19.324769,0.048
3,2024-03-09 12:40:19.324772,0.144
0,2024-03-09 12:40:19.498517,0.017
1,2024-03-09 12:40:19.498525,0.012
2,2024-03-09 12:40:19.498527,0.184
3,2024-03-09 12:40:19.498529,0.032
0,2024-03-09 12:40:19.663338,0.115
1,2024-03-09 12:40:19.663616,0.010
2,2024-03-09 12:40:19.663620,0.071
3,2024-03-09 12:40:19.663622,0.063
0,2024-03-09 12:40:19.832840,0.094
1,2024-03-09 12:40:19.832848,0.018
2,2024-03-09 12:40:19.832851,0.017
3,2024-03-09 12:40:19.832853,0.102
0,2024-03-09 12:40:20.000745,0.015
1,2024-03-09 12:40:20.000754,0.011
2,2024-03-09 12:40:20.000758,0.170
3,2024-03-09 12:40:20.000761,0.021
0,2024-03-09 12:40:20.174935,0.020
1,2024-03-09 12:40:20.174942,0.023
